"","GEOID","NAME","POV_P","NOHSDP_P","NONEMP_P","RENT_P","CROWD_P","SNGPNT_P","NOVEH_P","B01001_001","SDI_2022_Raw","SDI_2022"
"15589","47616","ZCTA5 47616",0.05734767,0.04575163,0.3005181,0.3626374,0,0.1538462,0.02197802,279,-0.4039295,28
"15590","47619","ZCTA5 47619",0.03036053,0.07301066,0.2239422,0.1053412,0,0.1317365,0.008902077,1587,-1.133745,10
"15591","47620","ZCTA5 47620",0.1099618,0.05218447,0.2395186,0.2578898,0.002614379,0.09440087,0.04761905,12738,-0.399648,28
"15592","47630","ZCTA5 47630",0.03151531,0.03255744,0.2242299,0.1825802,0.009882096,0.06053131,0.01383493,38772,-1.567671,3
"15593","47631","ZCTA5 47631",0.1043129,0.06540955,0.2828526,0.1640904,0.01426873,0.04878049,0.01664685,2097,-0.6691135,21
"15594","47633","ZCTA5 47633",0.04980167,0.1616286,0.2942387,0.1431514,0.01441813,0.05891239,0.02265705,2274,-0.6430786,22
"15595","47634","ZCTA5 47634",0.1271372,0.0810093,0.2652174,0.06767795,0,0.133945,0,2290,-0.3123481,31
"15596","47635","ZCTA5 47635",0.1162403,0.08095472,0.3217822,0.3061049,0.00171969,0.1082221,0.05975924,5529,0.2252136,46
"15597","47637","ZCTA5 47637",0.1306397,0.1442216,0.3162393,0.1678571,0.003571429,0.1385681,0.04285714,1485,0.3937257,51
"15598","47638","ZCTA5 47638",0.09776141,0.053148,0.1952611,0.1373265,0.004382761,0.08740602,0.06866326,3529,-0.6858035,21
"15599","47639","ZCTA5 47639",0.07514703,0.01922428,0.1939838,0.1850534,0.02609727,0.05592105,0.02135231,4591,-1.176418,10
"15600","47640","ZCTA5 47640",0.07731434,0.1339402,0.2723881,0.06617647,0.0122549,0.05985915,0.03921569,983,-0.5246741,25
"15601","47648","ZCTA5 47648",0.1432476,0.04060914,0.1619938,0.2017365,0.02706844,0.188823,0.02860061,4396,0.03289199,41
