"","Vars","CT","C","ZCTA","ZCTA3"
"1","POV",0.863453692648959,0.880518784623131,0.914658572776817,0.9126452541495
"2","NOHSDP",0.699578174258261,0.744273783916968,0.770845511286084,0.765665437998113
"3","NONEMP",0.457209230245238,0.605003774647849,0.548556842604186,0.595507925208289
"4","RENT",0.692077868727161,0.598828161283426,0.67505202181195,0.632263748803356
"5","CROWD",0.511717049398149,0.454043610827561,0.56420662282773,0.429539561202563
"6","SNGPNT",0.637720805570819,0.691862003052316,0.734491957390432,0.776783421608561
"7","NOVEH",0.620679056614354,0.534741336185904,0.675454631416172,0.583341907095243
